Designator,Footprint,Quantity,Value,LCSC Part #
BT101,BatteryHolder_Multicomp_BC-2001_1x2032,1,CR2032,C6937139
C101,0805,1,100nF,C28233
"D102, D103, D104, D105, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D132, D133, D134, D135, D137, D138, D139, D140, D141, D142",1206,38,LED_45deg,C3646940
"R101, R102",0805,2,10kΩ,C17414
SW101,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,Button,C318884
TP101,TestPoint_Pad_D1.5mm,1,SWIO,
TP102,TestPoint_Pad_D1.5mm,1,TX,
TP103,TestPoint_Pad_D1.5mm,1,RX,
TP104,TestPoint_Pad_D1.5mm,1,NRST,
TP105,TestPoint_Pad_D1.5mm,1,GND,
U101,SOP-16_3.9x9.9mm_P1.27mm,1,CH32V003AxMx,C5346357
